1950,1960,1970,1980,1990,2000,2010,2020,id,name
331314,487455,496973,425022,394017,416474,331314,498715,1,Atlanta
949708,939024,905759,786775,736014,651154,620961,585708,2,Baltimore
3620962,3550404,3366957,3005072,2783726,2896016,2695598,2746288,3,Chicago
434462,679684,844401,904078,1006877,1188580,1197816,1304379,4,Dallas
415786,493887,514678,492365,467610,554636,600158,715522,5,Denver
1849568,1670144,1511482,1203339,1027974,951270,713777,639111,6,Detroit
596163,938219,1232802,1595138,1630553,1953631,2099451,2298945,7,Houston
1970358,2479015,2816061,2966850,3485398,3694820,3792621,3898747,8,Los Angeles
249276,291688,334859,346865,358548,362470,399457,442241,9,Miami
7891957,7781984,7894862,7071639,7322564,8008278,8175133,88084190,10,New York
2071605,2002512,1948609,1688210,1585577,1517550,1526006,1603797,11,Philadelphia
106818,439170,581562,789704,983403,1321045,1445632,1608139,12,Phoenix
775357,740316,715674,678974,723959,776733,805235,873965,13,San Francisco
467591,557087,530831,493846,516259,563374,608660,737015,14,Seattle
802178,763956,756510,638333,606900,572059,601723,689545,15,Washington